Task_ID,Process_ID,Processor_ID,MI,Speed,Power
T4,T4_P26,P190,2483,2083,0.7
T4,T4_P27,P71,2914,2130,0.86
T4,T4_P28,P195,2648,2930,1.34
T4,T4_P29,P153,1659,1939,1.34
T4,T4_P30,P26,1295,2149,1.04
T4,T4_P31,P76,1431,2813,1.03
T4,T4_P32,P93,1234,1778,1.71
T4,T4_P33,P78,557,1740,1.8
T4,T4_P34,P182,2687,2393,1.26
T4,T4_P35,P33,1623,1451,1.6
T4,T4_P36,P12,723,2516,1.26
T4,T4_P37,P142,1696,2161,0.89
T4,T4_P38,P179,1017,2285,1.01
T4,T4_P39,P164,2510,1877,0.95
T4,T4_P40,P27,550,1407,1.98
T4,T4_P41,P147,1664,2342,1.47
T4,T4_P42,P121,2460,2310,0.59
T4,T4_P43,P113,1895,2093,1.6
T4,T4_P44,P48,710,1440,1.1
T4,T4_P45,P65,2456,2098,0.92
T4,T4_P46,P30,767,2436,0.86
T4,T4_P47,P103,2514,2372,1.22
T4,T4_P48,P19,2863,1061,0.74
T4,T4_P49,P162,719,2529,1.16
T4,T4_P50,P39,1111,1013,1.92
T4,T4_P51,P145,1744,1644,0.9
T4,T4_P52,P22,1516,1476,1.88
T4,T4_P53,P31,2785,2116,1.35
T4,T4_P54,P196,2204,1023,0.67
T4,T4_P55,P156,2941,1285,1.26
T4,T4_P56,P159,1424,2149,0.6
T4,T4_P57,P199,2640,1234,0.72
T4,T4_P58,P98,2345,1747,0.52
T4,T4_P59,P114,1717,2493,1.68
T4,T4_P60,P151,2256,2872,0.51
T4,T4_P61,P79,2829,2182,0.58
T4,T4_P62,P159,746,2149,0.6
T4,T4_P63,P157,906,1505,0.7
T4,T4_P64,P196,1351,1023,0.67
T4,T4_P65,P161,1364,1538,0.93
T4,T4_P66,P68,832,2888,1.59
T4,T4_P67,P41,1482,2650,1.29
T4,T4_P68,P45,2760,1696,1.63
T4,T4_P69,P20,1141,1191,1.93
T4,T4_P70,P1,2173,2309,1.83
T4,T4_P71,P116,2932,1334,1.23
T4,T4_P72,P121,1692,2310,0.59
T4,T4_P73,P9,1448,2508,1.58
T4,T4_P74,P74,1658,2287,0.64
T4,T4_P75,P180,2359,1327,1.53
T4,T4_P76,P19,1456,1061,0.74
T4,T4_P77,P68,2915,2888,1.59
T4,T4_P78,P170,1310,1283,1.9
T4,T4_P79,P109,970,1146,1.89
T4,T4_P80,P140,1420,2870,1.35
T4,T4_P81,P166,1110,2195,1.71
T4,T4_P82,P69,1082,1775,1.82
T4,T4_P83,P19,744,1061,0.74
T4,T4_P84,P43,1759,2429,1.95
T4,T4_P85,P153,2831,1939,1.34
T4,T4_P86,P74,2298,2287,0.64
T4,T4_P87,P32,2419,1859,0.62
T4,T4_P88,P177,1745,1224,0.92
T4,T4_P89,P180,2148,1327,1.53
T4,T4_P90,P70,2549,1161,1.36
T4,T4_P91,P139,2522,1432,1.49
T5,T5_P1,P21,2949,1447,1.88
T5,T5_P2,P11,2269,2385,1.64
T5,T5_P3,P189,1820,1958,1.0
T5,T5_P4,P155,1525,1542,1.31
T5,T5_P5,P7,874,1457,0.5
T5,T5_P6,P59,2856,2236,1.56
T5,T5_P7,P151,584,2872,0.51
T5,T5_P8,P196,1603,1023,0.67
T5,T5_P9,P148,664,2022,1.19
T5,T5_P10,P196,1217,1023,0.67
T5,T5_P11,P121,2625,2310,0.59
T5,T5_P12,P167,2311,1817,1.29
T5,T5_P13,P72,1243,1600,1.21
T5,T5_P14,P150,2285,2811,1.9
T5,T5_P15,P163,2514,2197,1.31
T5,T5_P16,P24,2425,2232,1.23
T5,T5_P17,P90,2172,1476,1.19
T5,T5_P18,P86,1815,2583,0.79
T5,T5_P19,P172,928,2010,1.82
T5,T5_P20,P42,1850,1326,1.41
T5,T5_P21,P106,2529,2918,0.75
T5,T5_P22,P74,2140,2287,0.64
T5,T5_P23,P195,2753,2930,1.34
T5,T5_P24,P10,2362,1209,1.96
T5,T5_P25,P23,1788,2034,1.4
T5,T5_P26,P65,1824,2098,0.92
T5,T5_P27,P30,2155,2436,0.86
T5,T5_P28,P132,504,2683,1.79
T5,T5_P29,P169,2722,1449,1.33
T5,T5_P30,P119,2192,1552,0.59
T5,T5_P31,P14,1268,2116,1.44
T5,T5_P32,P133,1981,1065,1.11
T5,T5_P33,P160,2541,2103,0.87
T5,T5_P34,P161,2310,1538,0.93
T5,T5_P35,P195,711,2930,1.34
T5,T5_P36,P53,1593,1189,0.87
T5,T5_P37,P141,1036,2931,0.97
T5,T5_P38,P74,2294,2287,0.64
T5,T5_P39,P179,2485,2285,1.01
T5,T5_P40,P32,618,1859,0.62
T5,T5_P41,P162,2993,2529,1.16
T5,T5_P42,P62,1148,1088,0.55
T5,T5_P43,P80,2756,1393,1.48
T5,T5_P44,P4,2762,2518,1.01
T5,T5_P45,P105,881,2437,1.85
T5,T5_P46,P58,964,1704,0.51
T5,T5_P47,P119,981,1552,0.59
T5,T5_P48,P166,1130,2195,1.71
T5,T5_P49,P128,1695,2573,1.26
T5,T5_P50,P131,1619,1469,0.6
T5,T5_P51,P107,2476,2399,0.5
T5,T5_P52,P121,1498,2310,0.59
T5,T5_P53,P117,2757,1946,0.78
T5,T5_P54,P38,2071,2780,1.49
T5,T5_P55,P49,2955,2960,1.51
T5,T5_P56,P131,1059,1469,0.6
T5,T5_P57,P18,1631,1065,1.06
T5,T5_P58,P198,2199,2476,1.54
T5,T5_P59,P88,2579,1163,0.71
T5,T5_P60,P69,510,1775,1.82
T5,T5_P61,P73,1722,2698,1.11
T5,T5_P62,P151,2875,2872,0.51
T5,T5_P63,P169,2505,1449,1.33
T5,T5_P64,P39,2329,1013,1.92
T5,T5_P65,P138,2483,1135,0.62
T5,T5_P66,P89,1861,2751,0.78
T5,T5_P67,P142,2725,2161,0.89
T5,T5_P68,P97,2365,2708,1.31
T5,T5_P69,P83,1272,1093,1.59
T5,T5_P70,P179,1478,2285,1.01
T5,T5_P71,P147,2068,2342,1.47
T5,T5_P72,P60,2182,1541,0.59
T5,T5_P73,P12,1803,2516,1.26
T5,T5_P74,P191,2437,1514,1.97
T5,T5_P75,P181,2061,2622,1.78
T5,T5_P76,P99,1123,1333,0.64
T6,T6_P1,P10,1017,1209,1.96
T6,T6_P2,P129,2917,2589,1.78
T6,T6_P3,P85,911,1466,0.66
T6,T6_P4,P113,908,2093,1.6
T6,T6_P5,P135,2371,1646,1.35
T6,T6_P6,P4,1090,2518,1.01
T6,T6_P7,P105,1132,2437,1.85
T6,T6_P8,P20,2423,1191,1.93
T6,T6_P9,P68,1886,2888,1.59
T6,T6_P10,P160,2128,2103,0.87
T6,T6_P11,P167,828,1817,1.29
T6,T6_P12,P85,2685,1466,0.66
T6,T6_P13,P98,1797,1747,0.52
T6,T6_P14,P161,2498,1538,0.93
T6,T6_P15,P139,647,1432,1.49
T6,T6_P16,P159,780,2149,0.6
T6,T6_P17,P61,1677,2652,0.6
T6,T6_P18,P59,870,2236,1.56
T6,T6_P19,P112,903,1350,1.54
T6,T6_P20,P195,911,2930,1.34
T6,T6_P21,P114,1181,2493,1.68
T6,T6_P22,P178,1726,1313,0.82
T6,T6_P23,P8,688,1285,1.58
T6,T6_P24,P84,729,2354,1.7
T6,T6_P25,P76,1968,2813,1.03
T6,T6_P26,P96,2264,2301,1.48
T6,T6_P27,P38,1500,2780,1.49
T6,T6_P28,P136,2187,1821,1.37
T6,T6_P29,P145,1237,1644,0.9
T6,T6_P30,P44,1217,1865,1.89
T6,T6_P31,P21,2996,1447,1.88
T6,T6_P32,P98,1486,1747,0.52
T6,T6_P33,P128,2888,2573,1.26
T6,T6_P34,P37,1451,2657,0.69
T6,T6_P35,P119,1540,1552,0.59
T6,T6_P36,P118,1545,1777,0.83
T6,T6_P37,P171,538,2043,0.66
T6,T6_P38,P120,1678,2895,1.6
T6,T6_P39,P174,2738,2547,1.83
T6,T6_P40,P41,802,2650,1.29
T6,T6_P41,P114,1915,2493,1.68
T6,T6_P42,P151,1725,2872,0.51
T6,T6_P43,P164,2237,1877,0.95
T6,T6_P44,P177,1524,1224,0.92
T6,T6_P45,P117,1737,1946,0.78
T6,T6_P46,P51,2075,1689,1.85
T6,T6_P47,P124,936,1449,1.22
T6,T6_P48,P61,2062,2652,0.6
T6,T6_P49,P147,1970,2342,1.47
T6,T6_P50,P148,1711,2022,1.19
T6,T6_P51,P180,1709,1327,1.53
T6,T6_P52,P6,2121,1501,0.74
T6,T6_P53,P71,533,2130,0.86
T6,T6_P54,P145,700,1644,0.9
T6,T6_P55,P156,2534,1285,1.26
T6,T6_P56,P74,1442,2287,0.64
T6,T6_P57,P156,1943,1285,1.26
T6,T6_P58,P57,1278,2735,1.38
T6,T6_P59,P159,1526,2149,0.6
T6,T6_P60,P174,1060,2547,1.83
T6,T6_P61,P161,897,1538,0.93
T6,T6_P62,P161,661,1538,0.93
T6,T6_P63,P80,2305,1393,1.48
T6,T6_P64,P9,2873,2508,1.58
T6,T6_P65,P94,1038,1569,1.78
T6,T6_P66,P24,1708,2232,1.23
T6,T6_P67,P84,2201,2354,1.7
T6,T6_P68,P45,1322,1696,1.63
T6,T6_P69,P34,2709,1919,1.72
T6,T6_P70,P94,2674,1569,1.78
T6,T6_P71,P129,1616,2589,1.78
T6,T6_P72,P43,1552,2429,1.95
T6,T6_P73,P124,1708,1449,1.22
T6,T6_P74,P192,1887,2988,0.74
T6,T6_P75,P30,2418,2436,0.86
T6,T6_P76,P20,1076,1191,1.93
T6,T6_P77,P194,1424,2762,1.56
T6,T6_P78,P174,2127,2547,1.83
T6,T6_P79,P143,1998,2794,1.5
T6,T6_P80,P24,2116,2232,1.23
T6,T6_P81,P4,1583,2518,1.01
T6,T6_P82,P138,1006,1135,0.62
T6,T6_P83,P117,2009,1946,0.78
T7,T7_P1,P150,2060,2811,1.9
T7,T7_P2,P164,2021,1877,0.95
T7,T7_P3,P28,1457,2466,1.71
T7,T7_P4,P121,602,2310,0.59
T7,T7_P5,P159,2799,2149,0.6
T7,T7_P6,P84,2998,2354,1.7
T7,T7_P7,P57,758,2735,1.38
T7,T7_P8,P163,2401,2197,1.31
T7,T7_P9,P180,1737,1327,1.53
T7,T7_P10,P167,2172,1817,1.29
T7,T7_P11,P30,1072,2436,0.86
T7,T7_P12,P12,652,2516,1.26
T7,T7_P13,P78,2517,1740,1.8
T7,T7_P14,P30,898,2436,0.86
T7,T7_P15,P61,2701,2652,0.6
T7,T7_P16,P35,2091,2206,1.97
T7,T7_P17,P117,2019,1946,0.78
T7,T7_P18,P172,2712,2010,1.82
T7,T7_P19,P108,2905,2327,1.09
T7,T7_P20,P191,1132,1514,1.97
T7,T7_P21,P107,905,2399,0.5
T7,T7_P22,P126,2171,1664,1.3
T7,T7_P23,P72,634,1600,1.21
T7,T7_P24,P177,2017,1224,0.92
T7,T7_P25,P56,2316,1735,1.33
T7,T7_P26,P114,1467,2493,1.68
T7,T7_P27,P93,906,1778,1.71
T7,T7_P28,P176,2004,2763,0.73
T7,T7_P29,P140,1969,2870,1.35
T7,T7_P30,P16,2130,2209,1.26
T7,T7_P31,P71,1277,2130,0.86
T7,T7_P32,P32,2362,1859,0.62
T7,T7_P33,P24,1368,2232,1.23
T7,T7_P34,P165,2945,2838,1.98
T7,T7_P35,P6,707,1501,0.74
T7,T7_P36,P86,1497,2583,0.79
T7,T7_P37,P33,2812,1451,1.6
T7,T7_P38,P53,781,1189,0.87
T7,T7_P39,P196,2770,1023,0.67
T7,T7_P40,P54,2901,1778,0.6
T7,T7_P41,P56,1454,1735,1.33
T7,T7_P42,P85,1104,1466,0.66
T7,T7_P43,P153,511,1939,1.34
T7,T7_P44,P71,1092,2130,0.86
T7,T7_P45,P34,2712,1919,1.72
T7,T7_P46,P65,1214,2098,0.92
T7,T7_P47,P29,605,2330,0.86
T7,T7_P48,P34,560,1919,1.72
T7,T7_P49,P92,1474,1206,0.61
T7,T7_P50,P151,1826,2872,0.51
T7,T7_P51,P5,1213,1563,0.94
T7,T7_P52,P68,714,2888,1.59
T7,T7_P53,P33,2224,1451,1.6
T8,T8_P1,P30,760,2436,0.86
T8,T8_P2,P122,2336,2409,0.97
T8,T8_P3,P200,1982,2396,0.55
T8,T8_P4,P132,2931,2683,1.79
T8,T8_P5,P28,2351,2466,1.71
T8,T8_P6,P129,1407,2589,1.78
T8,T8_P7,P158,677,2525,1.02
T8,T8_P8,P187,2635,1781,1.74
T8,T8_P9,P78,2376,1740,1.8
T8,T8_P10,P165,627,2838,1.98
T8,T8_P11,P16,2461,2209,1.26
T8,T8_P12,P103,2246,2372,1.22
T8,T8_P13,P176,942,2763,0.73
T8,T8_P14,P126,2316,1664,1.3
T8,T8_P15,P19,830,1061,0.74
T8,T8_P16,P83,2991,1093,1.59
T8,T8_P17,P38,769,2780,1.49
T8,T8_P18,P33,1626,1451,1.6
T8,T8_P19,P160,2897,2103,0.87
T8,T8_P20,P141,1831,2931,0.97
T8,T8_P21,P98,2946,1747,0.52
T8,T8_P22,P136,1707,1821,1.37
T8,T8_P23,P117,2570,1946,0.78
T8,T8_P24,P155,2262,1542,1.31
T8,T8_P25,P26,968,2149,1.04
T8,T8_P26,P168,2758,1741,1.5
T8,T8_P27,P185,1380,1130,0.58
T8,T8_P28,P111,2349,2300,0.93
T8,T8_P29,P59,2194,2236,1.56
T8,T8_P30,P87,2357,1592,1.3
T8,T8_P31,P103,2203,2372,1.22
T8,T8_P32,P187,889,1781,1.74
T8,T8_P33,P81,2248,2442,1.47
T8,T8_P34,P81,1544,2442,1.47
T8,T8_P35,P96,1125,2301,1.48
T8,T8_P36,P176,2442,2763,0.73
T8,T8_P37,P18,873,1065,1.06
T8,T8_P38,P22,881,1476,1.88
T8,T8_P39,P111,895,2300,0.93
T8,T8_P40,P191,2026,1514,1.97
T8,T8_P41,P34,2778,1919,1.72
T8,T8_P42,P16,2902,2209,1.26
T8,T8_P43,P144,2800,2470,0.97
T8,T8_P44,P85,1000,1466,0.66
T8,T8_P45,P106,1948,2918,0.75
T8,T8_P46,P171,2232,2043,0.66
T8,T8_P47,P185,710,1130,0.58
T8,T8_P48,P74,2959,2287,0.64
T8,T8_P49,P80,1940,1393,1.48
T8,T8_P50,P27,2867,1407,1.98
T8,T8_P51,P130,1371,1114,0.6
T8,T8_P52,P40,2475,2554,0.75
T8,T8_P53,P58,943,1704,0.51
T8,T8_P54,P90,2778,1476,1.19
T8,T8_P55,P95,970,1928,0.65
T8,T8_P56,P196,1641,1023,0.67
T8,T8_P57,P147,1426,2342,1.47
T8,T8_P58,P110,2797,2247,1.68
T8,T8_P59,P197,2780,2393,1.92
T8,T8_P60,P7,2994,1457,0.5
T8,T8_P61,P169,1595,1449,1.33
T8,T8_P62,P8,1238,1285,1.58
T8,T8_P63,P70,1765,1161,1.36
T8,T8_P64,P87,1937,1592,1.3
T8,T8_P65,P2,1243,1228,1.63
T8,T8_P66,P37,2819,2657,0.69
T8,T8_P67,P169,2141,1449,1.33
T8,T8_P68,P18,1081,1065,1.06
T8,T8_P69,P190,625,2083,0.7
T8,T8_P70,P24,2672,2232,1.23
T8,T8_P71,P56,2040,1735,1.33
T8,T8_P72,P108,2358,2327,1.09
T8,T8_P73,P88,1144,1163,0.71
T8,T8_P74,P95,1776,1928,0.65
T8,T8_P75,P185,1828,1130,0.58
T8,T8_P76,P199,2824,1234,0.72
T8,T8_P77,P153,847,1939,1.34
T8,T8_P78,P14,1137,2116,1.44
T8,T8_P79,P41,703,2650,1.29
T8,T8_P80,P173,834,1186,0.9
T8,T8_P81,P70,2314,1161,1.36
T8,T8_P82,P170,2236,1283,1.9
T8,T8_P83,P125,2986,2402,1.88
T8,T8_P84,P114,2196,2493,1.68
T8,T8_P85,P70,1382,1161,1.36
T8,T8_P86,P194,2598,2762,1.56
T8,T8_P87,P30,1913,2436,0.86
T9,T9_P1,P29,1660,2330,0.86
T9,T9_P2,P174,2929,2547,1.83
T9,T9_P3,P125,2658,2402,1.88
T9,T9_P4,P171,1763,2043,0.66
T9,T9_P5,P12,1403,2516,1.26
T9,T9_P6,P102,2954,1429,1.11
T9,T9_P7,P15,531,1178,1.76
T9,T9_P8,P53,1734,1189,0.87
T9,T9_P9,P55,1062,1198,0.53
T9,T9_P10,P196,1546,1023,0.67
T9,T9_P11,P75,1843,2266,1.49
T9,T9_P12,P31,531,2116,1.35
T9,T9_P13,P128,2263,2573,1.26
T9,T9_P14,P45,1029,1696,1.63
T9,T9_P15,P98,2681,1747,0.52
T9,T9_P16,P181,1442,2622,1.78
T9,T9_P17,P129,2788,2589,1.78
T9,T9_P18,P172,1950,2010,1.82
T9,T9_P19,P19,2126,1061,0.74
T9,T9_P20,P190,673,2083,0.7
T9,T9_P21,P112,576,1350,1.54
T9,T9_P22,P118,818,1777,0.83
T9,T9_P23,P81,2858,2442,1.47
T9,T9_P24,P110,2848,2247,1.68
T9,T9_P25,P104,2210,1546,1.8
T9,T9_P26,P75,971,2266,1.49
T9,T9_P27,P104,585,1546,1.8
T9,T9_P28,P84,1203,2354,1.7
T9,T9_P29,P159,2384,2149,0.6
T9,T9_P30,P177,1982,1224,0.92
T9,T9_P31,P23,2288,2034,1.4
T9,T9_P32,P28,1496,2466,1.71
T9,T9_P33,P112,2912,1350,1.54
T9,T9_P34,P103,2646,2372,1.22
T9,T9_P35,P21,2121,1447,1.88
T9,T9_P36,P80,1890,1393,1.48
T9,T9_P37,P57,1864,2735,1.38
T9,T9_P38,P200,1188,2396,0.55
T9,T9_P39,P20,2590,1191,1.93
T9,T9_P40,P163,967,2197,1.31
T9,T9_P41,P136,2588,1821,1.37
T9,T9_P42,P50,1931,2563,1.06
T9,T9_P43,P90,1104,1476,1.19
T9,T9_P44,P61,921,2652,0.6
T9,T9_P45,P38,1548,2780,1.49
T9,T9_P46,P51,1210,1689,1.85
T9,T9_P47,P155,1126,1542,1.31
T9,T9_P48,P195,808,2930,1.34
T9,T9_P49,P46,2523,1569,1.53
T9,T9_P50,P119,2809,1552,0.59
